Region,EmploymentStatus,PropertyType,Education,MaritalStatus,Age,Income,HousingCost,Savings,RecordDate
Scotland,Unemployed,Flat,Phd,Single,65,39409,9846.34076340402,11452.8768697173,2021-06-11
Midlands,Employed,Semi-Detached,High School,Married,64,44077,23739.3440577112,7484.95930497894,2022-02-19
Scotland,Self-Employed,Semi-Detached,Bachelor,Single,61,62222,22759.5398205431,16296.5072761545,2023-05-24
Wales,Self-Employed,Detached,Phd,Married,58,86280,52508.9551391737,14402.4825111201,2021-03-07
South East,Self-Employed,Flat,High School,Single,51,89884,25668.3159911083,27827.4676867871,2021-04-14
South East,Unemployed,Detached,Phd,Divorced,29,35206,13087.0717622206,3922.95237682362,2021-07-11
Scotland,Self-Employed,House,Bachelor,Divorced,59,77840,40892.258706833,21327.4554365459,2021-09-22
Midlands,Self-Employed,Detached,Bachelor,Married,21,18012,22759.5398205431,4278.82205180276,2022-05-31
Midlands,Unemployed,House,High School,Divorced,44,42716,21018.6982840602,11740.1742191381,2023-07-04
South East,Unemployed,Detached,Master,Divorced,55,53235,17123.078253164,9207.67846968228,2020-02-09
South East,Employed,Flat,Bachelor,Single,39,53283,17835.6123455955,20825.2784138624,2022-01-30
North West,Unemployed,Flat,Master,Single,30,25345,10129.3366166996,3258.19803536594,2024-01-03
South East,Self-Employed,Semi-Detached,Bachelor,Divorced,23,44106,14679.4503487792,13604.7448116986,2020-03-27
Wales,Unemployed,Flat,Master,Married,61,57166,14120.5822974656,25465.3416480967,2020-09-02
North West,Employed,Flat,High School,Divorced,65,53818,36958.7201230391,13881.4232818538,2023-07-04
London,Employed,Detached,Bachelor,Divorced,55,32076,16487.2290724489,7271.49523826906,2022-02-12
Midlands,Unemployed,House,Master,Single,52,75344,37469.707338963,28541.445647709,2023-02-09
South East,Employed,House,Phd,Married,37,88989,28692.3974392694,36518.163462601,2021-10-18
Wales,Employed,Semi-Detached,Bachelor,Divorced,64,83214,40630.428958315,28726.7790051827,2020-09-22
South East,Employed,House,High School,Married,33,30943,9446.33132427439,11237.5229980447,2021-03-03
Wales,Self-Employed,Flat,Phd,Divorced,24,65307,22759.5398205431,28004.3342791312,2020-06-08
South East,Unemployed,Flat,High School,Divorced,35,87685,31910.9647648837,27224.1589723921,2023-07-31
Scotland,Self-Employed,Semi-Detached,Phd,Single,31,41644,21694.9666614522,9786.55439266639,2021-10-26
Midlands,Self-Employed,Semi-Detached,Master,Divorced,36,89516,33096.4968591314,42113.5871691217,2023-05-05
London,Unemployed,House,Master,Single,40,47083,15469.8258731656,5117.00626893526,2020-11-12
London,Employed,Semi-Detached,Master,Single,29,52732,24495.9552902676,10543.3817444511,2021-10-26
North West,Employed,Semi-Detached,High School,Divorced,62,57373,19534.6922056388,14493.4779990747,2020-09-03
South East,Unemployed,Flat,Phd,Single,40,86731,26778.8722693393,28271.2840835459,2023-05-03
Scotland,Unemployed,Flat,Bachelor,Married,39,69684,22759.5398205431,9269.2294516428,2020-09-24
South East,Self-Employed,House,Phd,Married,62,53818,23098.3978180466,8674.97278707295,2022-05-17
Midlands,Self-Employed,House,Master,Married,59,21172,8769.49231044627,10481.4265543824,2021-02-12
Wales,Self-Employed,House,High School,Single,24,49856,22759.5398205431,22310.6068974446,2021-03-04
Wales,Unemployed,House,Bachelor,Divorced,54,51902,20259.8371556827,19620.4329990411,2021-02-15
Wales,Unemployed,Detached,High School,Married,62,19092,4663.01976851973,6972.25815566768,2022-02-18
Scotland,Unemployed,Flat,Master,Married,59,87672,22876.931826957,13881.4232818538,2022-03-16
Wales,Employed,Flat,Master,Divorced,43,64580,29146.0956205836,13881.4232818538,2020-03-01
Scotland,Self-Employed,House,Bachelor,Married,46,35991,11365.690661626,11095.56237042,2021-10-01
Scotland,Self-Employed,Semi-Detached,Bachelor,Single,62,36163,14708.8846298377,16093.803042288,2020-10-24
Wales,Unemployed,House,Master,Single,56,87856,48072.1186574407,13881.4232818538,2021-09-13
North West,Unemployed,Detached,Bachelor,Single,27,35241,10460.9779500245,12060.9434324389,2020-10-01
Scotland,Unemployed,Semi-Detached,Master,Single,45,53818,31954.5670474905,13881.4232818538,2021-02-19
South East,Employed,House,Phd,Divorced,52,60584,32568.4417989043,16419.6134066118,2023-03-17
Scotland,Unemployed,Flat,High School,Married,50,23559,24305.232295655,7243.94631692368,2021-08-19
North West,Self-Employed,Detached,Master,Married,31,73372,21796.7574306027,27586.4913884732,2023-04-13
Wales,Unemployed,House,Phd,Married,41,77098,22379.7359252648,25914.6570055527,2020-12-01
Wales,Unemployed,Flat,High School,Single,49,65571,19642.5223896059,25621.8377163322,2021-11-17
Scotland,Unemployed,House,Bachelor,Single,32,24725,19766.410121063,9693.79967884537,2021-06-02
London,Self-Employed,Semi-Detached,Phd,Divorced,21,82679,32200.3905511917,30077.648599897,2023-07-11
Scotland,Employed,Flat,Bachelor,Single,24,63746,12286.787059315,23381.9446506593,2023-10-08
Midlands,Unemployed,House,Phd,Divorced,58,65210,34087.1296577565,26566.8665646225,2022-08-22
South East,Employed,Detached,Master,Divorced,47,86766,26489.1051587747,29918.7820929839,2023-12-18
Midlands,Self-Employed,Detached,Master,Divorced,57,64380,41203.4652605267,19221.2136241158,2021-01-31
London,Employed,Flat,Phd,Divorced,28,45175,25728.8618487886,11999.2233912054,2020-05-18
Midlands,Self-Employed,Detached,High School,Single,64,53818,27111.7918081646,21367.1733477581,2020-03-13
Wales,Employed,Semi-Detached,Bachelor,Divorced,50,88381,52386.3230032654,36553.9938976015,2023-01-02
London,Employed,Detached,Master,Single,30,54760,30359.6066170891,27021.1855132228,2021-09-23
Wales,Self-Employed,Flat,Master,Married,26,83149,47399.2537740402,23345.1237603919,2020-07-08
North West,Unemployed,Flat,Phd,Divorced,30,42931,18764.280559711,16870.8709747598,2023-10-17
South East,Employed,Flat,Phd,Married,54,33182,22759.5398205431,12437.3081753565,2021-10-01
London,Unemployed,Detached,Bachelor,Married,33,43237,18865.8597896652,9843.33179676532,2022-11-18
London,Employed,Detached,Master,Married,30,55128,22664.815561669,7083.79080185182,2020-08-04
North West,Employed,Flat,Phd,Married,32,76436,35716.0377029499,17804.4544247448,2023-03-08
South East,Employed,Semi-Detached,High School,Married,40,79000,31426.5934374507,12441.6052074033,2021-10-27
North West,Self-Employed,Flat,High School,Married,28,64064,24546.5285290938,13639.4144330424,2023-02-12
Wales,Employed,Detached,Phd,Married,58,72190,23067.4626099902,23041.5758229484,2022-06-10
Scotland,Self-Employed,House,Bachelor,Divorced,63,28209,18759.1317398187,12262.4319201242,2022-04-11
London,Unemployed,Flat,Phd,Married,52,26058,4616.18816397253,13881.4232818538,2022-03-09
Scotland,Unemployed,Semi-Detached,Bachelor,Single,64,59497,21104.9236145739,27808.9364148065,2022-11-11
North West,Employed,Detached,High School,Married,56,24963,10423.1180775135,10691.6856878018,2021-10-13
Wales,Self-Employed,Semi-Detached,Phd,Married,55,45684,24793.7785968611,7109.68882404254,2020-09-14
South East,Employed,Flat,High School,Single,52,75243,41710.766086668,10072.4326154764,2021-01-03
North West,Unemployed,Semi-Detached,Phd,Married,43,47588,19896.4982989499,4900.23137416523,2020-03-09
London,Unemployed,Semi-Detached,Master,Single,58,81115,43893.7251471366,12721.6703730196,2023-06-03
London,Employed,Semi-Detached,High School,Divorced,61,88673,47056.6678523249,13881.4232818538,2021-11-09
North West,Self-Employed,Detached,Master,Single,23,57855,33419.381981476,11812.6750661234,2020-02-25
Midlands,Self-Employed,Flat,Bachelor,Divorced,25,54418,18008.1384749045,11432.5059817104,2022-01-27
South East,Self-Employed,House,Phd,Single,54,22337,4646.61848517897,10876.7397679252,2023-09-15
North West,Unemployed,House,Bachelor,Divorced,43,25120,8826.75956759278,3039.75308337844,2023-10-31
Wales,Self-Employed,Semi-Detached,Master,Single,54,74981,21409.5759132905,18955.3196101401,2022-06-03
Scotland,Unemployed,Detached,Master,Married,38,30881,15051.0964459208,7919.78775060324,2023-11-14
South East,Self-Employed,Flat,High School,Single,21,71903,17136.4418659067,26906.0897217291,2023-05-01
Wales,Employed,Flat,High School,Single,59,35027,17639.7936988263,14756.175482541,2022-07-17
Midlands,Self-Employed,Detached,Master,Single,25,54344,29637.8660167801,13881.4232818538,2021-02-14
Scotland,Self-Employed,House,Phd,Single,30,88861,44701.0855097403,30709.1634329548,2022-07-02
London,Self-Employed,House,High School,Single,63,69181,24149.5697700126,31951.0385094751,2020-05-23
Scotland,Employed,Flat,Phd,Divorced,51,33886,22759.5398205431,7908.17524366583,2021-11-27
London,Self-Employed,Detached,Bachelor,Single,56,23155,11758.716911056,5083.63713700519,2021-01-23
South East,Employed,House,High School,Divorced,58,49258,33562.0318800028,20545.2984505371,2021-11-25
London,Self-Employed,Flat,Phd,Single,34,86566,39320.2511484156,13881.4232818538,2023-06-20
London,Employed,House,High School,Single,61,24548,10503.6779840557,6934.16775486581,2021-03-27
London,Employed,Semi-Detached,Master,Divorced,64,70692,30131.2857574993,22505.0752139571,2021-07-14
South East,Self-Employed,House,Master,Divorced,31,53818,29846.9677034146,8778.64149149945,2020-01-14
London,Employed,Flat,Master,Married,65,80391,37955.5325010274,12640.2905011333,2024-01-08
North West,Unemployed,Flat,Master,Married,47,18599,22759.5398205431,2734.11119784665,2023-07-06
Wales,Employed,Detached,High School,Single,28,37558,21169.2347249125,13881.4232818538,2023-06-17
North West,Employed,Flat,High School,Divorced,32,53818,23269.363218012,11845.2989708735,2021-10-29
South East,Employed,Detached,Bachelor,Single,36,53818,41116.9371905578,13881.4232818538,2020-12-30
North West,Self-Employed,House,Phd,Divorced,33,53818,36757.4879720427,15233.4091224459,2021-12-04
South East,Self-Employed,House,Bachelor,Divorced,56,48107,17030.7572463938,14224.5355858559,2021-05-20
South East,Self-Employed,Semi-Detached,Bachelor,Divorced,30,18665,3119.44907503051,13881.4232818538,2020-07-19
North West,Self-Employed,House,High School,Divorced,21,71296,38702.2704573158,13881.4232818538,2023-03-14
Wales,Unemployed,Flat,Phd,Married,29,71131,22759.5398205431,24947.3760581607,2021-08-30
North West,Self-Employed,House,High School,Divorced,42,25184,11796.0932346318,11463.5342334347,2020-05-17
Scotland,Unemployed,House,Bachelor,Married,36,88730,28548.0904947945,35044.0932517367,2021-07-01
Scotland,Unemployed,Semi-Detached,Master,Single,25,66865,27761.5013868727,20098.2842548985,2022-01-23
Wales,Unemployed,Flat,Bachelor,Married,26,28508,8954.15187664423,6139.17143220298,2022-12-02
Wales,Employed,Detached,Phd,Divorced,55,35305,16565.1745922479,13881.4232818538,2023-08-13
Midlands,Self-Employed,Detached,Master,Married,58,87489,49947.4371852569,24777.1329908695,2021-08-13
London,Employed,Detached,Master,Married,31,39075,19176.6712220767,6756.54437855788,2021-10-10
Scotland,Employed,Semi-Detached,Master,Married,32,44890,15628.0183093447,16439.6747240949,2020-02-21
North West,Self-Employed,House,Phd,Married,30,18562,14891.2745659857,9099.84257325687,2023-03-20
Wales,Employed,Semi-Detached,Master,Divorced,28,80781,22759.5398205431,29986.1765869769,2023-05-30
Wales,Employed,House,Master,Single,22,28956,14993.5932363961,10737.6189870883,2020-04-24
Wales,Self-Employed,Semi-Detached,Bachelor,Divorced,48,66448,20790.7439399753,14210.5789972998,2022-05-01
North West,Self-Employed,House,Phd,Divorced,47,36293,24482.3770150031,4878.91116875142,2022-02-08
London,Employed,Semi-Detached,Master,Married,32,78570,36416.9375627631,14119.2666415707,2022-10-08
Scotland,Unemployed,Semi-Detached,Bachelor,Single,21,38188,31599.7771230251,5715.62735454979,2021-07-21
North West,Employed,Detached,Phd,Divorced,48,51804,27136.4475353014,25368.6000808259,2020-10-26
Midlands,Self-Employed,House,Master,Single,24,53739,21059.7468851473,13881.4232818538,2023-05-11
South East,Unemployed,Detached,Master,Divorced,40,53580,27188.1260710581,13881.4232818538,2021-11-27
South East,Employed,House,Bachelor,Divorced,35,42696,26708.7570505564,14745.9748932046,2022-08-01
London,Employed,House,High School,Married,43,58838,52435.0289066133,25112.9692893706,2020-08-30
South East,Employed,House,Bachelor,Married,29,45504,9736.90797500568,13881.4232818538,2020-03-08
Wales,Unemployed,Flat,Phd,Single,37,23672,1634.87263672945,9511.88561035524,2020-07-04
South East,Unemployed,Detached,Master,Married,31,53818,42718.2128372903,25249.9019298002,2020-12-17
Scotland,Employed,Flat,Bachelor,Divorced,51,66033,30676.1835815765,18216.2814796416,2020-08-19
Midlands,Employed,Semi-Detached,High School,Divorced,29,53818,42610.332040892,26792.5893909363,2022-06-28
South East,Unemployed,Semi-Detached,Master,Married,33,27123,22759.5398205431,12900.5884532692,2023-10-17
London,Employed,House,Phd,Married,65,31332,13727.6933484131,3944.20264097381,2024-01-25
North West,Self-Employed,Detached,Phd,Married,51,71011,45675.503527511,15022.8211014097,2020-07-22
Wales,Employed,Flat,Phd,Divorced,22,41474,22759.5398205431,13881.4232818538,2021-02-17
Midlands,Unemployed,Semi-Detached,Phd,Divorced,37,89098,22759.5398205431,28390.90070907,2022-02-09
North West,Self-Employed,Flat,High School,Single,56,57720,29991.7140275524,17119.2812043992,2023-11-04
Scotland,Unemployed,Semi-Detached,Phd,Divorced,31,84412,44129.4175846748,25144.3470814922,2020-04-02
South East,Self-Employed,Detached,High School,Divorced,42,67882,22759.5398205431,33722.2983889303,2023-11-10
London,Self-Employed,Flat,Master,Single,22,88571,69606.6461110048,32160.7602492822,2021-10-10
North West,Unemployed,Semi-Detached,Master,Divorced,27,82010,21747.4770063476,19222.0766393749,2022-10-14
Wales,Employed,House,Master,Married,24,56970,35692.7820917608,24032.2936094961,2023-03-06
Scotland,Self-Employed,Semi-Detached,Bachelor,Married,25,57563,24470.7479372347,15724.1504888223,2021-01-04
London,Unemployed,House,Phd,Single,63,79249,30972.0297344575,33567.7677014391,2022-08-05
South East,Employed,House,Master,Married,47,59766,28989.9557150364,21131.524107575,2021-05-03
London,Employed,House,High School,Single,40,78838,35247.8008664118,21192.2576321424,2023-02-01
South East,Unemployed,Flat,Phd,Single,24,29000,10318.1334581393,12959.1926450845,2024-01-23
South East,Employed,Flat,High School,Divorced,63,86846,25843.4829252711,16955.0090281012,2021-04-28
North West,Employed,House,High School,Single,34,53818,20966.0280546651,24031.9611678217,2021-05-19
Midlands,Employed,Detached,Phd,Divorced,44,58392,19953.6978537181,13881.4232818538,2022-02-26
Midlands,Unemployed,Detached,High School,Divorced,36,75986,30765.9254872046,35789.6309291594,2020-11-24
North West,Unemployed,Detached,Phd,Single,38,28498,18390.3216210085,8219.86375759653,2023-12-01
Midlands,Unemployed,Flat,Master,Married,59,89791,96120.0497763887,33948.5440149542,2021-02-13
Wales,Self-Employed,Detached,High School,Single,31,50716,18975.8043856903,22253.3780631486,2023-11-08
Scotland,Self-Employed,Detached,Bachelor,Single,47,66182,21940.7281083925,31628.5672087095,2020-07-01
North West,Employed,Detached,Bachelor,Single,46,74217,31595.0215603593,10065.6440319011,2022-07-18
Wales,Self-Employed,Flat,Bachelor,Divorced,34,42975,24334.5595593293,9247.56631330666,2023-10-18
South East,Self-Employed,House,Phd,Single,22,56036,32011.4112077726,19448.5319727389,2021-10-24
Wales,Self-Employed,House,Phd,Divorced,48,51584,18339.9753536121,6370.67173881583,2023-05-10
Wales,Unemployed,Flat,High School,Married,53,67930,25640.7636340605,13881.4232818538,2021-11-25
North West,Employed,Flat,Master,Divorced,54,74744,19309.4331202859,16840.4094336893,2021-06-23
Scotland,Self-Employed,Detached,Phd,Single,41,82392,40098.2606386125,26552.4602259968,2022-08-21
Midlands,Employed,Semi-Detached,Phd,Single,52,23346,13633.2015205403,6865.58714584964,2021-01-04
South East,Unemployed,Detached,Bachelor,Divorced,21,53818,43029.9985052869,23176.7196825603,2023-10-25
London,Self-Employed,Detached,High School,Married,30,21784,8925.05854223819,13881.4232818538,2021-10-27
Wales,Unemployed,House,Bachelor,Single,62,55087,15911.6293510037,13881.4232818538,2022-03-27
London,Employed,House,Bachelor,Married,46,55347,23898.332576440702,8204.68320565123,2023-09-24
London,Self-Employed,House,Phd,Married,45,80447,65012.3538057571,21658.6035938445,2021-11-30
North West,Unemployed,House,Bachelor,Married,54,86770,26913.6300082393,23856.735351058,2022-12-07
North West,Self-Employed,Flat,High School,Single,53,32107,15531.171644365,4424.14377055981,2020-08-21
Wales,Unemployed,Semi-Detached,Bachelor,Single,46,23932,6556.65843168353,5398.54567464909,2021-01-18
South East,Employed,Flat,Master,Divorced,27,53818,27810.3115909195,19311.3830474743,2024-01-26
North West,Self-Employed,Detached,Phd,Married,26,53818,8351.28547484273,4979.19220894643,2022-06-11
Wales,Unemployed,House,High School,Married,50,37420,10919.8350790691,5485.1556110849,2021-05-11
South East,Self-Employed,Semi-Detached,High School,Married,21,31456,16878.560618562,15469.8964479083,2022-09-22
Scotland,Unemployed,Semi-Detached,Bachelor,Divorced,24,53818,26835.2862100294,19747.2648830275,2021-12-11
North West,Unemployed,Semi-Detached,High School,Single,39,43192,20069.6015346647,8329.19906513039,2020-09-25
Midlands,Unemployed,Semi-Detached,Phd,Divorced,62,65219,32128.1394039161,22744.2752315728,2020-07-25
North West,Self-Employed,Detached,Bachelor,Single,56,24166,15371.351349536,10931.7907925567,2022-05-31
London,Unemployed,House,High School,Divorced,35,81748,28388.7555339804,33839.9378828652,2023-05-22
Wales,Employed,Flat,Phd,Married,28,31879,21679.1538507175,13881.4232818538,2022-01-10
South East,Unemployed,Detached,Phd,Divorced,52,31014,10387.364745974,7252.40711601809,2022-08-28
Midlands,Self-Employed,House,High School,Married,44,72396,26258.1990182097,11630.0181947742,2022-07-28
Scotland,Unemployed,Detached,High School,Married,30,53818,13150.0653519913,9216.35509858467,2023-09-14
Wales,Employed,Flat,Master,Married,46,53818,29230.2013894055,26842.2222520428,2021-02-24
Scotland,Unemployed,Semi-Detached,Master,Divorced,46,43859,20868.2840088733,5034.48991575031,2020-07-09
Scotland,Unemployed,Detached,Master,Divorced,31,21069,9318.92407901398,7100.28335410757,2022-02-02
Midlands,Unemployed,Detached,High School,Single,62,34351,18360.8462688818,13559.8332235547,2023-07-09
Wales,Unemployed,House,Master,Married,39,36346,21687.8302372234,14356.8491439834,2022-05-21
North West,Employed,Flat,High School,Married,29,80423,22430.5120866921,19922.1995033565,2022-05-17
North West,Unemployed,Semi-Detached,Phd,Single,30,84294,27323.0260068614,12791.9580143609,2023-02-18
Midlands,Employed,Semi-Detached,High School,Single,44,55957,12289.1737288737,8231.10041396081,2022-05-13
London,Self-Employed,Detached,Bachelor,Single,52,53818,6062.60423603618,2321.14272587092,2024-01-14
Scotland,Employed,House,Phd,Married,63,76861,47102.1656450967,10432.0354958156,2023-10-05
North West,Unemployed,Detached,High School,Single,22,53818,23131.902225164,20910.7982895449,2022-09-01
Scotland,Employed,Flat,Bachelor,Single,38,44975,39199.7383561412,12489.1881533177,2022-06-14
South East,Self-Employed,Flat,Master,Married,37,29930,5310.45976020209,9479.18146247539,2020-04-30
Scotland,Self-Employed,House,High School,Divorced,24,57062,22296.2589308432,8957.83357221632,2023-05-07
Scotland,Employed,Semi-Detached,Phd,Single,38,25947,13439.7065136773,6819.66520031823,2023-10-14
London,Employed,House,Master,Divorced,47,76455,24558.0746640769,13867.619125188001,2023-02-10
North West,Employed,Flat,Phd,Divorced,39,39939,12892.3394523063,8360.07844056857,2021-07-30
London,Employed,Flat,Master,Single,46,34118,22563.7270548888,17042.9134063499,2023-07-24
Midlands,Unemployed,Semi-Detached,Master,Single,63,60157,49530.4969150405,29091.7490461914,2020-01-20
Wales,Employed,Semi-Detached,Phd,Married,55,28636,11319.845447752,9033.50486589138,2023-05-16
Midlands,Self-Employed,House,High School,Single,50,66559,40733.2522131592,6905.18482706308,2023-07-04
Midlands,Unemployed,House,Bachelor,Married,44,22822,12877.0975608277,4190.90721031679,2023-02-04
South East,Unemployed,House,High School,Divorced,29,26526,12151.5813144675,11729.5739465088,2023-10-20
Scotland,Unemployed,Detached,Phd,Single,48,24797,13901.8566115819,6770.05880458694,2024-01-17
South East,Employed,Detached,Phd,Divorced,49,59450,13157.8518041976,13904.3042885171,2021-05-26
South East,Employed,Detached,Master,Single,61,30678,10045.7781027231,12983.6545108765,2021-11-28
London,Self-Employed,House,High School,Divorced,60,53818,22759.5398205431,13881.4232818538,2020-09-18
London,Self-Employed,Flat,Master,Divorced,61,74602,16282.3297184563,13881.4232818538,2023-09-13
Scotland,Employed,Semi-Detached,Phd,Married,48,31274,6960.90797248349,8807.71867906247,2021-01-31
Scotland,Employed,Detached,Master,Married,51,53818,21287.8378952561,31945.5881886977,2023-01-13
South East,Employed,Semi-Detached,Master,Divorced,42,56150,16417.9314801227,17242.1060458678,2021-12-05
South East,Employed,House,High School,Married,33,80354,42285.467587239,27312.7200485713,2022-07-19
London,Self-Employed,House,High School,Divorced,35,48182,18405.0359179281,9424.76615170036,2020-01-14
Midlands,Employed,Flat,Master,Single,56,33098,12139.1271768423,13881.4232818538,2021-06-20
Wales,Employed,Detached,Bachelor,Single,33,53818,5776.14130964608,9664.49167851054,2021-09-16
North West,Employed,Detached,Master,Divorced,31,53818,53647.2302786721,39297.2347921526,2022-02-05
Midlands,Unemployed,Semi-Detached,Bachelor,Single,60,42785,22759.5398205431,17791.505427633,2022-09-28
South East,Unemployed,Flat,Phd,Divorced,60,26503,9536.87190107537,10615.0667719657,2023-11-23
North West,Unemployed,Semi-Detached,Phd,Married,58,70552,37961.8692138986,25391.3053095773,2022-02-11
Scotland,Employed,Detached,Master,Divorced,26,35606,18102.2978974653,9891.42250425557,2022-04-17
Midlands,Self-Employed,Detached,Master,Married,22,41536,22759.5398205431,14875.7836637977,2021-04-11
London,Employed,Flat,Master,Single,55,44254,16627.0418321709,8851.21851800196,2024-01-06
Wales,Unemployed,Detached,High School,Married,39,63433,34860.9110896375,13881.4232818538,2022-03-25
South East,Employed,House,Phd,Single,54,53818,42506.6720516312,18768.3260361497,2023-02-17
London,Self-Employed,House,Bachelor,Married,21,83509,45373.7832401373,19702.1862379894,2020-02-17
Scotland,Employed,House,Bachelor,Married,57,53818,39404.9326837709,33196.1154606441,2021-09-15
London,Employed,Flat,Bachelor,Single,65,82043,19541.4190178515,10484.8012126967,2022-11-27
London,Employed,Detached,Phd,Married,31,53818,11453.3689579812,9471.63435774531,2023-12-24
Wales,Self-Employed,House,Master,Divorced,33,53818,44521.9763608099,13881.4232818538,2023-03-11
North West,Self-Employed,Semi-Detached,High School,Divorced,26,55737,29018.2212648268,13305.1317703949,2021-01-02
Scotland,Unemployed,Semi-Detached,Phd,Married,63,42044,17355.0311618403,10822.9886387402,2020-05-16
Wales,Unemployed,House,Phd,Married,56,33889,33061.6937973207,13628.7577580004,2020-02-24
London,Unemployed,Semi-Detached,Phd,Married,46,43480,12081.5899209742,8706.53490932704,2023-09-07
South East,Unemployed,Semi-Detached,Bachelor,Married,38,39150,14839.9941660388,13420.4408093845,2021-07-13
South East,Self-Employed,Detached,Bachelor,Single,23,87769,24364.7011252794,38144.4474630979,2020-04-17
Scotland,Employed,Flat,Phd,Single,36,67105,36395.9840146101,9163.49455634135,2020-07-16
Wales,Employed,House,High School,Married,53,32114,17482.0359782021,10431.3223682064,2021-12-31
Midlands,Employed,Flat,Phd,Divorced,41,19570,10074.2340245907,3679.91300464254,2023-05-11
North West,Employed,House,Master,Single,59,60513,37280.1970159313,22460.017724438,2023-09-26
North West,Employed,Detached,High School,Divorced,58,76839,22759.5398205431,13881.4232818538,2022-05-27
South East,Unemployed,Flat,High School,Single,44,83369,26981.2157097666,20867.1921025586,2020-10-01
Midlands,Self-Employed,Flat,Phd,Divorced,39,21105,22759.5398205431,5003.81328319807,2021-03-31
Scotland,Self-Employed,Detached,Bachelor,Married,61,18792,8177.99814538127,2405.26264648795,2021-02-22
South East,Unemployed,Flat,Phd,Divorced,50,58824,16321.7672763684,11645.3862971495,2022-09-12
London,Self-Employed,Semi-Detached,Phd,Single,51,75852,35168.8513259858,29883.5066339391,2021-09-06
Scotland,Unemployed,House,Bachelor,Married,45,78771,22759.5398205431,19697.3781092599,2020-01-27
Scotland,Unemployed,Detached,Phd,Married,47,69727,42229.0890283662,13881.4232818538,2023-03-04
South East,Employed,Semi-Detached,Master,Divorced,43,84795,43276.4418788119,32101.8746656718,2023-07-16
Wales,Unemployed,Flat,Bachelor,Married,59,77699,42517.7122103063,15673.07039687,2022-02-26
North West,Unemployed,Flat,Bachelor,Married,31,73950,24983.4397502204,22204.1329922086,2020-07-01
London,Unemployed,Detached,Bachelor,Married,34,70162,22759.5398205431,13881.4232818538,2022-06-01
South East,Employed,Detached,Bachelor,Divorced,29,43954,21706.3252084026,21071.2541887862,2021-06-15
North West,Self-Employed,Flat,Bachelor,Single,39,53818,10706.9984194337,3674.73353288212,2020-01-15
Wales,Unemployed,Flat,High School,Single,54,18951,10749.4849232585,9376.17282439756,2021-12-03
Midlands,Employed,Detached,Phd,Married,60,53818,30981.5607608424,10774.8011095188,2020-09-08
Scotland,Self-Employed,House,Master,Married,60,80285,32619.204717084802,8128.98822689227,2021-10-28
Wales,Self-Employed,House,Phd,Married,60,28665,13460.9975171177,14181.9682004341,2022-12-01
Scotland,Unemployed,Flat,Bachelor,Married,26,57498,35115.0438364744,28455.0612172199,2020-12-15
Wales,Unemployed,Flat,High School,Married,22,39002,22781.0477575776,17982.2390129771,2020-10-05
Scotland,Unemployed,Semi-Detached,High School,Divorced,42,47334,32111.2053389495,5957.77965111869,2022-06-13
South East,Employed,Detached,High School,Married,26,32599,13868.7996609818,15480.7520002654,2020-01-04
Midlands,Employed,House,Phd,Married,41,65844,31909.1245246201,20273.4040077552,2021-08-30
South East,Self-Employed,Semi-Detached,Bachelor,Divorced,39,37119,14547.2911570959,12603.8352650918,2021-03-17
North West,Self-Employed,Semi-Detached,High School,Married,30,53818,23624.9305075948,17337.3320399754,2023-09-12
South East,Employed,Semi-Detached,Master,Married,64,80052,49171.8241195078,20527.3531419444,2020-09-25
Midlands,Unemployed,Flat,Master,Married,62,39455,40145.7219011279,14929.0701105885,2024-01-26
Scotland,Employed,House,Phd,Married,64,40049,19564.9253626526,9701.21110476876,2020-10-31
Wales,Unemployed,Semi-Detached,Bachelor,Single,28,49569,19232.7000814579,18597.9736584599,2022-08-07
Wales,Self-Employed,Detached,Phd,Married,21,33728,6807.76589605445,13881.4232818538,2020-07-12
Scotland,Employed,Semi-Detached,Phd,Divorced,65,53818,47152.6590298989,10460.8734118346,2023-02-12
Scotland,Unemployed,Semi-Detached,High School,Divorced,58,88645,82677.7037834002,35582.3943155665,2022-07-04
Midlands,Employed,Flat,Bachelor,Divorced,34,53818,10191.2515332488,17239.8970614898,2023-09-09
London,Employed,Detached,High School,Divorced,39,88005,40159.5734679124,26065.068328194,2023-09-19
London,Employed,Flat,Bachelor,Single,40,46208,31901.2095303127,14824.8318080866,2023-08-23
South East,Self-Employed,Semi-Detached,High School,Married,64,53818,40052.3951584673,23184.177428566,2023-09-08
Wales,Unemployed,House,Phd,Single,41,74836,33523.4736419264,14892.2947267462,2021-11-14
Midlands,Employed,House,Master,Single,27,67434,38616.2120610699,16956.4775936381,2022-09-29
London,Unemployed,Detached,Master,Divorced,38,30984,15265.7663464288,7039.52005619608,2022-04-04
North West,Unemployed,House,Master,Single,64,85314,39695.2573436383,13400.1042146474,2023-10-20
Scotland,Self-Employed,Semi-Detached,Bachelor,Married,43,79428,33337.8725833291,38208.5636973873,2021-09-17
North West,Self-Employed,Flat,High School,Single,36,30272,5257.40658790764,4051.42431137708,2024-02-05
South East,Self-Employed,Semi-Detached,High School,Married,21,42927,19536.3172572526,16555.3997812899,2022-12-17
Wales,Unemployed,Flat,Phd,Single,64,86618,46918.3300762053,11264.5799182094,2020-08-19
Midlands,Unemployed,House,High School,Married,40,81324,27176.2898767509,8205.0811442113,2020-03-13
